Timestamp,License Plate,Confidence,Vehicle Type,Speed,Violations
2025-04-10 18:33:09.179,ML51VSU,0.48,Car,4.3,Lane Crossing;Criminal Vehicle
2025-04-10 18:33:09.179,NA13NRU,0.49,Car,4.9,Lane Crossing
2025-04-10 18:33:09.591,NA13NRU,0.42,Car,4.7,Lane Crossing
2025-04-10 18:34:37.997,NO51VSU,0.15,Car,1.6,Lane Crossing;Criminal Vehicle
2025-04-10 18:34:40.863,NA13NRU,0.49,Car,5.2,Lane Crossing
2025-04-10 18:34:41.234,ML51VSU,0.48,Car,5.1,Lane Crossing;Criminal Vehicle
2025-04-10 18:34:41.234,NA13NRU,0.49,Car,5.6,Lane Crossing
2025-04-10 18:34:41.604,NA13NRU,0.42,Car,5.3,Lane Crossing
2025-04-10 18:34:43.234,NA13NRU,0.33,Car,6.1,Lane Crossing
2025-04-10 18:34:43.792,NA13NRU,0.34,Car,6.1,Lane Crossing
2025-04-10 18:34:44.172,NA13NRU,0.49,Car,6.3,Lane Crossing
2025-04-10 18:34:44.894,NA13NRU,0.70,Car,6.9,Lane Crossing
2025-04-10 18:34:45.249,NA13NRU,0.32,Car,7.2,Lane Crossing
2025-04-10 18:34:45.618,NA13NRU,0.14,Car,7.6,Lane Crossing
2025-04-10 18:34:45.959,NA13NRU,0.38,Car,7.6,Lane Crossing
2025-04-10 18:34:46.318,NA13NRU,0.70,Car,7.0,Lane Crossing
2025-04-10 18:34:47.017,NA13NRU,0.37,Car,7.6,Lane Crossing
2025-04-10 18:34:47.780,NA13NRU,0.65,Car,6.6,Lane Crossing
2025-04-10 18:34:48.268,NA13NRU,0.59,Car,6.3,Lane Crossing
2025-04-10 18:34:49.734,NA13NRU,0.33,Car,8.4,Lane Crossing
2025-04-10 18:34:54.260,GX15OGJ,0.23,Car,4.4,Lane Crossing
2025-04-10 18:34:59.882,GX15OGJ,0.18,Car,4.9,Lane Crossing
2025-04-10 18:35:00.246,GX15OGJ,0.35,Car,4.7,Lane Crossing
2025-04-10 18:35:02.296,GX15OGJ,0.28,Car,6.2,Lane Crossing
2025-04-10 18:35:46.258,NO51VSU,0.15,Car,1.4,Lane Crossing;Criminal Vehicle
2025-04-10 18:35:49.160,NA13NRU,0.49,Car,4.9,Lane Crossing
2025-04-10 18:35:49.549,ML51VSU,0.48,Car,4.8,Lane Crossing;Criminal Vehicle
2025-04-10 18:35:49.549,NA13NRU,0.49,Car,5.3,Lane Crossing
2025-04-10 18:35:50.000,NA13NRU,0.42,Car,4.9,Lane Crossing
2025-04-10 18:35:51.883,NA13NRU,0.33,Car,5.5,Lane Crossing
2025-04-10 18:35:52.464,NA13NRU,0.34,Car,5.6,Lane Crossing
2025-04-10 18:35:52.856,NA13NRU,0.49,Car,5.8,Lane Crossing
2025-04-10 18:35:53.833,NA13NRU,0.70,Car,6.0,Lane Crossing
2025-04-10 18:35:54.178,NA13NRU,0.32,Car,6.5,Lane Crossing
2025-04-10 18:35:54.532,NA13NRU,0.14,Car,7.2,Lane Crossing
2025-04-10 18:35:54.845,NA13NRU,0.38,Car,7.4,Lane Crossing
2025-04-10 18:35:55.169,NA13NRU,0.70,Car,6.9,Lane Crossing
2025-04-10 18:35:56.072,NA13NRU,0.37,Car,6.9,Lane Crossing
2025-04-10 18:35:56.505,NA13NRU,0.65,Car,6.4,Lane Crossing
2025-04-10 18:35:57.098,NA13NRU,0.59,Car,5.9,Lane Crossing
2025-04-10 18:35:58.633,NA13NRU,0.33,Car,8.0,Lane Crossing
2025-04-11 09:02:56.851,NO51VSU,0.15,Car,1.0,Lane Crossing;Criminal Vehicle
2025-04-11 09:02:59.684,NA13NRU,0.49,Car,5.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:00.047,ML51VSU,0.48,Car,5.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:00.047,NA13NRU,0.49,Car,5.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:00.407,NA13NRU,0.42,Car,5.4,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:02.029,NA13NRU,0.33,Car,6.2,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:02.738,NA13NRU,0.34,Car,5.9,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:03.193,NA13NRU,0.49,Car,5.9,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:03.887,NA13NRU,0.70,Car,6.8,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:04.259,NA13NRU,0.32,Car,7.0,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:04.716,NA13NRU,0.14,Car,7.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:05.344,NA13NRU,0.38,Car,6.5,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:05.749,NA13NRU,0.70,Car,6.0,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:06.702,NA13NRU,0.37,Car,6.2,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:07.173,NA13NRU,0.65,Car,5.8,Lane Crossing;Criminal Vehicle
2025-04-11 09:03:07.735,NA13NRU,0.59,Car,5.5,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:51.592,NO51VSU,0.15,Car,1.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:54.321,NA13NRU,0.49,Car,5.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:54.668,ML51VSU,0.48,Car,5.4,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:54.668,NA13NRU,0.49,Car,5.9,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:55.022,NA13NRU,0.42,Car,5.7,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:56.623,NA13NRU,0.33,Car,6.4,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:57.179,NA13NRU,0.34,Car,6.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:57.567,NA13NRU,0.49,Car,6.4,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:58.223,NA13NRU,0.70,Car,7.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:58.696,NA13NRU,0.32,Car,7.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:59.332,NA13NRU,0.14,Car,6.7,Lane Crossing;Criminal Vehicle
2025-04-11 09:11:59.710,NA13NRU,0.38,Car,6.7,Lane Crossing;Criminal Vehicle
2025-04-11 09:12:00.063,NA13NRU,0.70,Car,6.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:21.596,NO51VSU,0.15,Car,1.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:24.407,NA13NRU,0.49,Car,5.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:24.790,ML51VSU,0.48,Car,5.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:24.790,NA13NRU,0.49,Car,5.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:25.156,NA13NRU,0.42,Car,5.4,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:26.897,NA13NRU,0.33,Car,5.8,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:28.521,NA13NRU,0.34,Car,5.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:28.932,NA13NRU,0.49,Car,5.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:29.654,NA13NRU,0.70,Car,6.3,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:30.039,NA13NRU,0.32,Car,6.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:30.430,NA13NRU,0.14,Car,7.0,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:30.791,NA13NRU,0.38,Car,7.0,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:31.188,NA13NRU,0.70,Car,6.5,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:31.932,NA13NRU,0.37,Car,7.1,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:32.350,NA13NRU,0.65,Car,6.6,Lane Crossing;Criminal Vehicle
2025-04-11 09:55:32.865,NA13NRU,0.59,Car,6.2,Lane Crossing;Criminal Vehicle
